,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
HLA-DQB1,10,10,4,3,9,9,8,7,3,4,4,10,9,10,1,8,10,5
CD40,9,9,6,5,9,8,6,6,7,3,2,10,10,1,4,9,6,4
TYROBP,5,10,4,4,10,10,10,8,8,1,5,1,10,10,1,10,10,10
TUBB6,5,10,10,10,10,8,4,4,10,1,1,8,10,6,10,10,9,1
CYBB,9,9,3,3,10,10,5,4,7,1,4,9,9,10,1,10,10,1
IL13RA1,4,9,9,9,9,9,2,3,9,1,1,4,10,8,9,9,9,1
LHFPL2,9,10,9,9,10,9,6,7,8,1,1,8,10,6,8,10,6,1
SLC15A3,9,10,7,5,10,10,6,6,7,5,1,9,10,7,5,10,10,1
BTK,10,9,4,4,9,10,6,5,5,1,3,10,9,10,1,9,10,1
PLAUR,5,10,9,9,10,10,6,6,9,1,3,1,9,10,9,10,10,2
PSTPIP2,4,10,6,7,9,9,8,7,5,7,7,1,9,10,5,8,9,8
FCER1G,6,10,5,4,10,10,10,8,8,4,4,1,10,8,1,10,10,10
SLC31A2,6,10,9,7,10,10,6,6,9,4,6,4,9,7,6,10,10,1
FGR,7,10,3,3,10,10,10,7,7,1,7,5,9,10,1,10,10,10
RAB32,6,10,10,10,10,10,7,7,8,1,5,1,9,7,9,10,9,1
GCA,9,10,4,3,9,10,5,7,6,7,8,8,9,10,4,9,10,2
LST1,7,10,4,4,10,10,8,8,5,7,8,4,9,10,1,10,10,6
HMOX1,6,10,10,8,10,10,7,6,9,1,1,2,10,6,9,10,10,6
LY96,9,10,9,7,10,10,3,7,7,7,5,9,9,1,8,10,9,1
TGFBI,5,10,10,10,10,10,6,7,10,2,3,2,10,6,10,10,10,1
SNX10,9,10,3,3,10,10,10,8,7,6,8,5,9,6,1,10,10,8
LY75,9,10,2,1,9,8,9,9,3,9,9,9,10,9,2,8,8,9
TNFAIP2,6,9,6,5,9,9,5,6,9,1,3,2,10,10,9,10,10,1
SLC2A6,8,9,7,7,9,9,6,6,3,1,4,8,9,7,7,7,9,4
DAPK1,7,10,8,7,10,9,7,7,8,3,5,4,10,10,6,10,9,4
ICAM1,7,10,8,6,9,9,8,6,8,2,3,6,10,8,8,9,10,7
NCF4,10,9,3,4,10,10,6,7,6,2,5,10,9,10,1,9,10,1
ACP5,8,10,6,4,10,9,6,7,7,8,8,8,10,8,1,10,8,8
GPR183,8,10,2,3,9,9,9,10,7,10,8,10,10,8,1,8,10,4
TYMP,6,10,7,5,10,9,7,5,9,3,4,8,10,10,8,10,9,7
PRKCD,9,10,6,6,10,10,7,6,7,6,6,8,9,10,4,8,9,6
CLIC4,9,10,10,10,9,8,5,4,10,2,3,10,10,7,10,10,9,1
CD83,10,10,5,5,10,9,10,8,4,6,7,8,10,6,2,10,10,7
CTSH,10,10,7,4,10,10,7,8,8,6,5,10,10,6,5,10,10,1
DSE,7,10,10,10,10,10,5,5,10,6,6,4,10,1,9,9,9,6
MFHAS1,8,9,6,7,9,6,9,7,7,8,7,5,9,1,6,8,5,7
LYN,10,10,6,6,10,10,10,6,5,1,4,9,10,10,3,9,10,9
GAB2,8,9,8,7,9,9,7,8,8,3,1,7,9,8,6,8,9,1
IL7R,6,9,8,8,8,7,9,10,5,10,10,1,10,8,4,5,5,2
GPR137B,7,10,8,8,10,9,8,7,7,6,6,5,10,9,7,9,7,6
MARCKS,7,9,10,10,9,9,3,2,8,2,4,8,10,6,10,8,10,1
NAGPA,7,10,8,7,9,9,7,8,7,7,7,7,9,7,8,9,7,7
OAS1,8,9,4,3,9,9,6,7,7,6,7,9,9,6,2,9,9,7
APOL1,7,9,8,5,8,8,8,8,7,5,4,6,9,7,6,7,6,8
RAB31,8,10,10,9,10,10,7,5,9,1,4,7,10,10,9,10,10,1
SAMSN1,9,10,2,2,9,10,10,10,5,9,9,8,10,9,1,9,10,8
GM2A,8,10,7,7,10,9,5,6,8,6,7,9,10,6,8,10,9,6
HLA-DRA,10,10,3,3,10,10,10,9,8,6,4,10,10,10,1,10,10,7
HLA-DMB,10,10,5,5,10,10,8,8,6,6,7,10,9,9,1,10,10,7
MYO1F,7,10,4,4,10,10,10,9,6,7,9,4,10,10,1,10,10,10
PTPRE,7,10,4,3,10,10,9,8,6,8,8,7,9,10,3,10,10,10
BASP1,10,10,10,10,10,10,6,6,8,1,3,9,10,10,10,9,9,1
RNF19B,7,10,7,6,9,9,8,8,7,7,7,7,10,9,6,8,9,8
SYK,10,9,3,3,9,10,9,5,6,1,4,10,9,10,1,10,10,9
PLEK,10,10,4,4,10,10,10,8,6,4,7,9,10,10,1,10,10,10
HLA-DRB1,10,10,4,5,10,10,10,9,7,5,4,10,10,10,1,10,10,8
OGFRL1,8,10,7,7,9,10,8,6,9,6,7,7,10,6,7,9,9,8
NFIL3,5,10,9,9,9,9,9,6,9,4,6,5,10,9,8,8,10,9
PTPRJ,8,10,7,7,9,9,9,8,5,8,8,5,10,8,6,9,9,9
ACP2,7,10,9,9,10,9,7,7,8,7,6,7,9,8,8,10,7,7
IGFLR1,9,10,6,6,9,9,9,9,4,8,8,10,10,10,3,8,9,8
PIK3R5,7,10,5,4,9,9,9,9,6,10,10,8,10,10,1,9,10,10
HLA-DPA1,10,10,6,5,10,10,10,10,8,6,4,10,10,8,2,10,10,8
RPS6KA1,8,10,4,4,10,9,9,8,6,9,10,9,10,10,2,10,9,10
AOAH,5,9,5,4,9,10,10,7,5,7,10,3,9,10,1,9,10,10
RYBP,10,10,9,9,9,10,10,10,6,7,7,7,10,7,6,6,8,7
CDKN1A,7,10,10,10,10,10,8,7,10,3,4,8,10,8,10,10,10,3
ACTN1,4,10,10,10,10,10,6,8,10,9,7,1,10,10,10,10,9,4
HLA-DMA,10,10,6,5,10,10,9,9,7,7,7,10,10,9,4,10,10,6
IL10RA,9,10,3,2,10,10,10,10,7,10,9,10,10,8,1,10,10,10
IFI30,10,10,9,8,10,10,9,9,9,1,3,10,10,10,5,10,10,6
IL2RG,10,10,4,4,10,10,10,10,5,10,10,10,9,9,1,8,9,10
CD48,10,10,4,3,10,10,10,10,4,10,10,9,9,9,1,10,10,10
CYTIP,10,10,1,4,9,10,10,10,5,10,10,10,10,10,1,9,10,10
NFKBIE,8,9,5,6,9,9,8,6,5,7,7,8,9,8,6,9,9,7
MXD1,5,9,6,6,8,9,8,6,6,7,8,7,9,10,5,8,10,8
HLA-DPB1,9,9,4,4,8,9,6,7,8,7,4,10,10,9,5,10,10,6
CST3,9,10,10,9,10,10,9,9,10,3,4,4,10,7,10,10,10,7
BLVRB,8,10,9,9,10,10,8,8,10,6,5,7,9,6,9,10,10,7
CD58,8,10,8,8,10,10,9,8,8,6,7,7,10,7,7,9,10,9
TNFRSF1B,7,10,5,5,10,10,10,10,9,8,8,4,10,9,6,10,10,10
CXCR4,10,10,2,3,9,10,10,10,6,10,10,10,10,10,2,9,10,10
BIRC3,10,9,5,5,8,8,9,9,4,10,9,9,10,7,1,7,9,7
DUSP5,6,9,8,8,8,9,9,7,7,7,5,8,10,6,7,7,8,7
RASSF2,10,10,7,4,9,10,9,10,6,8,9,9,10,10,5,9,10,7
GADD45A,8,10,10,10,8,8,8,8,9,7,8,8,10,9,9,7,8,7
VAMP8,10,10,3,3,10,10,10,10,6,9,10,10,10,9,2,10,10,10
CD52,10,10,3,3,10,10,10,10,5,10,10,10,10,10,1,10,10,10
GLA,9,10,9,9,10,10,8,8,8,7,7,7,9,7,8,10,9,8
UPP1,5,10,7,7,10,9,10,9,8,9,8,5,10,10,7,10,10,9
BST2,9,10,7,4,9,10,9,9,8,8,8,10,10,8,4,10,10,10
SLA,9,10,5,4,10,10,10,10,7,10,10,8,10,10,1,9,10,10
PLEKHO2,9,10,8,7,10,10,9,8,8,6,7,7,9,9,8,10,9,9
CASP7,7,9,8,7,8,8,8,7,7,7,7,8,10,6,8,8,8,7
TDRD7,9,9,8,8,9,9,8,8,6,7,6,7,10,7,6,7,7,7
NCKAP1L,9,10,5,4,10,10,9,9,7,10,10,10,10,10,1,10,10,10
PEA15,8,10,10,10,10,10,8,7,10,6,6,8,10,5,10,10,9,7
PTPN6,10,10,4,4,10,10,10,10,6,10,10,10,9,10,1,10,10,10
CREG1,8,10,10,8,10,10,9,8,10,6,7,6,10,8,9,10,10,6
ETHE1,8,10,9,9,9,9,8,9,8,8,9,7,10,7,9,9,9,8
HPS5,9,10,9,9,10,9,9,8,7,8,8,8,10,8,8,9,8,8
NINJ1,7,10,8,7,10,10,9,8,9,8,8,6,9,10,8,10,10,8
SLC16A3,6,10,10,10,10,10,8,5,7,6,7,8,10,10,10,10,9,9
TMEM140,8,9,8,4,9,9,8,8,8,7,7,8,9,9,5,8,8,8
IL10RB,8,10,9,8,10,10,8,8,8,7,8,8,9,9,9,10,9,8
CD53,10,10,4,4,10,10,10,10,7,10,10,10,10,10,1,10,10,10
PEPD,8,10,9,9,10,9,8,8,9,8,8,8,9,6,9,10,9,9
IFNGR2,10,10,10,10,10,10,7,9,9,8,5,10,10,8,9,10,10,1
LGALS3,9,10,10,10,10,10,10,9,10,5,6,5,10,8,10,10,10,4
PDXK,8,10,8,8,10,9,8,8,9,8,7,9,10,9,9,10,9,8
QSOX1,7,10,10,10,9,9,8,8,9,7,7,7,10,9,10,10,9,8
ARRB2,7,10,5,6,10,10,9,9,8,10,10,8,10,10,5,10,10,10
LCP1,10,10,3,4,10,10,10,10,8,10,10,10,10,10,2,10,10,10
TIMP1,7,10,10,10,10,10,9,9,10,8,7,5,9,7,10,8,10,8
BID,8,10,8,9,10,10,9,7,8,7,8,8,10,10,8,9,10,8
ITGB2,10,10,5,4,10,10,10,9,8,10,10,10,10,10,1,10,10,10
CAPG,8,10,9,9,10,10,8,7,10,8,9,9,10,10,10,10,10,1
IER5,10,10,9,10,10,10,10,9,6,6,7,8,10,9,8,8,9,9
CTSS,10,10,5,3,10,10,10,10,8,10,9,10,10,10,3,10,10,10
LAPTM5,10,10,5,4,10,10,10,10,8,10,10,10,10,10,1,10,10,10
ASAP1,9,10,9,9,10,9,9,9,9,7,8,7,10,9,9,9,9,7
GMFG,10,10,5,5,10,10,10,10,7,10,10,10,9,10,2,10,10,10
SOAT1,6,9,7,7,9,8,8,7,8,8,8,7,10,6,8,10,9,8
DOCK2,10,10,3,5,10,10,10,10,7,10,10,10,10,10,4,10,10,10
FCGRT,7,10,9,8,10,10,6,8,10,9,9,9,9,10,9,10,10,6
SYNGR2,10,10,8,7,10,10,9,9,7,8,8,10,10,9,6,10,10,8
NMI,10,10,9,9,10,10,10,10,6,8,9,7,9,10,7,8,9,8
PARP12,9,10,7,6,10,9,9,9,8,10,9,9,10,10,7,9,9,9
SIDT2,10,10,10,9,10,10,9,9,9,8,7,9,9,9,7,8,9,7
EFHD2,7,10,8,8,10,10,10,8,8,7,8,8,9,10,8,10,10,10
VAT1,9,10,10,10,10,9,8,9,10,7,8,8,9,8,10,10,8,7
ITGA5,8,10,10,10,10,10,9,9,10,9,9,1,9,7,10,9,10,10
CD74,10,10,6,6,10,10,9,9,8,10,10,10,10,10,2,10,10,10
PLIN3,9,10,10,10,10,10,8,9,8,7,7,8,9,9,10,10,9,7
GLB1,9,10,10,10,10,10,8,8,9,7,7,8,10,9,9,10,9,8
TNFAIP3,9,10,7,8,10,10,10,10,7,10,10,8,10,8,5,9,10,10
SGK1,9,10,10,10,10,10,8,8,10,8,8,8,9,10,9,10,10,4
CSTB,10,10,10,10,10,10,10,10,8,7,7,8,10,8,7,10,9,7
SWAP70,10,9,9,9,9,9,8,5,9,4,6,9,9,9,8,9,8,6
CRIP1,9,10,7,6,9,10,10,10,7,10,10,10,10,10,5,9,10,10
LSP1,10,10,5,5,10,10,9,9,9,10,10,10,10,10,5,10,10,10
PLSCR1,9,10,9,9,10,10,10,9,10,7,9,7,9,8,9,10,10,8
PLEKHO1,9,10,8,9,10,10,9,8,8,9,9,9,10,8,8,10,10,9
CORO1C,9,10,10,10,10,10,9,7,10,6,7,9,10,9,10,10,10,7
GAA,7,9,8,6,10,9,7,7,9,7,7,8,9,10,9,9,9,7
APBB1IP,9,9,8,6,9,9,9,9,6,9,9,8,9,9,4,7,9,9
BET1,9,9,9,9,9,8,7,8,7,8,8,9,9,7,9,8,7,7
RIT1,6,9,7,7,9,8,8,7,8,8,8,8,9,8,8,10,10,9
VRK2,9,9,8,9,9,9,8,8,7,7,7,8,9,8,7,8,9,8
IGF2R,7,10,9,9,10,9,10,8,9,9,9,8,10,9,9,10,9,10
SERPINB1,9,10,8,7,10,10,10,9,8,9,9,9,10,10,7,10,10,9
ANXA1,4,10,10,10,10,10,10,10,10,10,9,1,10,10,10,10,10,10
IL4R,10,10,8,8,9,9,10,10,8,10,9,9,10,10,8,9,9,8
SFT2D2,8,9,8,7,9,8,7,7,8,8,8,8,9,9,8,9,9,9
SCO2,8,9,9,9,9,10,8,7,8,5,6,8,9,9,9,8,10,7
GBP1,7,9,9,9,9,9,10,9,7,9,9,3,10,6,8,8,9,8
LGALS9,9,9,7,6,10,9,8,8,7,8,7,9,10,10,2,10,10,9
TPP1,10,10,9,9,10,10,9,9,9,7,8,9,9,10,9,10,10,8
STX4,9,10,9,9,10,9,10,8,9,9,9,9,9,10,8,10,9,9
PRCP,10,10,10,10,10,10,9,9,9,7,8,9,9,8,9,10,10,8
CTSD,6,10,9,7,10,10,9,6,10,9,10,9,10,10,10,10,10,10
TRIM21,8,9,8,8,9,9,9,9,6,8,8,7,9,9,7,9,8,9
DENND5A,8,10,10,10,10,10,9,9,10,10,9,5,10,10,10,9,10,7
NDRG1,8,10,10,9,10,10,9,10,10,9,9,9,9,8,9,9,9,9
GRN,9,10,10,9,10,10,7,8,10,7,8,10,10,10,10,10,10,8
PHF11,10,10,10,9,10,10,10,10,8,10,10,10,9,7,7,8,9,9
PSMB9,10,10,8,7,10,10,10,10,7,10,10,10,10,9,7,9,9,10
ATOX1,9,10,10,10,10,10,9,9,10,8,8,8,10,9,9,10,9,8
GPSM3,8,9,6,5,9,9,9,9,5,10,10,10,9,10,3,9,10,10
TRADD,9,9,9,8,9,9,8,9,7,8,8,9,9,10,8,7,6,8
ARHGDIB,10,10,6,7,10,10,10,10,8,10,10,10,10,10,6,10,10,10
RBMS1,8,10,10,10,10,10,10,10,10,10,10,4,9,9,9,9,9,10
GTF2B,10,10,9,10,10,10,10,10,8,10,9,9,9,8,8,9,9,9
CTSB,8,10,10,10,10,10,7,8,10,9,8,9,10,10,10,10,10,8
RAB5C,8,10,9,9,10,9,9,8,10,9,9,9,10,9,9,10,10,10
MAP3K11,8,9,7,7,9,9,8,8,8,8,8,9,9,10,8,9,8,9
MX1,10,9,7,6,9,10,9,9,7,9,9,9,9,9,4,8,9,9
KIAA0930,8,9,8,7,10,9,8,7,8,7,7,9,9,10,8,10,9,8
WIPF1,10,10,8,7,9,10,10,10,8,10,10,10,10,10,7,9,10,10
CKLF,9,10,8,9,10,10,10,10,8,9,9,8,9,10,9,10,10,10
PLD3,7,10,10,10,10,9,7,7,10,9,9,10,10,10,10,10,10,10
MKNK1,8,9,7,7,9,9,8,9,9,8,8,8,9,10,7,10,9,8
CSK,10,10,9,9,10,10,10,10,7,10,10,10,9,10,7,9,9,10
ADPGK,9,10,8,9,10,9,8,9,9,10,10,10,10,10,9,10,10,9
S100A11,9,10,10,10,10,10,9,10,10,8,8,7,10,10,10,10,10,8
RFTN1,10,10,10,10,10,10,10,10,9,9,9,9,10,8,9,8,8,10
TAP1,10,10,8,8,10,10,10,10,8,10,10,9,10,10,8,9,9,10
CIB1,10,10,10,10,10,10,10,10,8,9,10,9,9,9,8,9,9,10
MAN2B1,10,10,9,8,10,10,9,9,9,9,9,10,10,10,9,10,10,9
RHOG,10,10,9,9,10,10,10,10,9,9,9,9,10,10,8,9,10,9
CTSC,8,10,9,9,10,9,10,9,10,9,10,8,10,10,9,10,10,10
P2RX4,8,9,8,8,10,10,8,8,8,8,8,8,9,8,8,10,9,8
IFNGR1,9,10,10,9,10,10,10,9,10,8,9,8,10,9,9,10,10,10
IFI6,7,9,9,6,9,9,8,7,8,8,9,8,10,9,9,10,9,9
SLC20A1,9,10,10,10,10,10,10,10,9,9,9,8,10,9,9,9,9,10
TNFAIP8,10,10,9,9,10,10,10,10,9,10,10,10,10,9,7,9,9,10
ZFP36,10,10,10,9,10,10,10,10,9,9,10,10,9,10,8,7,10,10
NAGK,10,10,10,10,10,10,9,9,9,9,9,10,9,10,9,10,10,8
HLA-F,10,10,10,9,10,10,10,10,8,10,10,10,10,10,4,10,10,10
VASP,9,10,9,9,10,10,10,9,9,9,10,9,9,10,9,10,10,10
TRIM22,10,10,10,8,10,10,10,10,9,10,10,7,9,10,9,9,10,10
CTSA,9,10,10,10,10,10,9,9,10,8,9,9,10,10,10,10,10,8
UBE2L6,10,10,9,8,10,10,10,10,9,9,10,9,9,9,9,10,10,10
MALT1,9,9,8,8,8,9,9,9,7,10,9,9,9,8,7,8,9,9
UVRAG,10,9,8,8,9,9,9,8,9,8,8,8,10,9,7,8,9,8
IFI35,9,9,9,7,9,9,9,8,8,8,8,9,9,8,8,9,9,9
PTPRC,10,9,4,4,9,10,10,10,7,10,10,10,10,10,1,10,10,10
MCM5,10,9,7,9,8,8,9,8,7,8,8,9,10,9,8,9,9,9
LIPA,10,10,10,10,10,10,10,10,10,9,9,8,10,8,9,10,10,9
NPC2,9,10,10,10,10,10,9,10,10,9,8,10,10,8,10,10,10,9
MVP,8,10,9,10,10,9,9,9,10,10,10,9,10,10,10,10,9,10
OSTF1,10,10,9,9,10,10,10,10,8,9,10,9,10,10,8,10,10,10
TRPV2,7,9,6,8,9,8,8,8,8,9,9,9,10,10,8,10,9,10
FMNL1,8,9,7,6,9,9,9,9,7,10,10,10,10,10,4,8,10,10
CORO1A,10,9,5,6,9,10,10,10,6,10,10,10,9,10,2,9,10,10
TNIP2,9,9,9,8,9,9,9,9,9,8,8,8,9,8,9,8,8,9
BIRC2,10,10,10,10,10,10,10,10,9,9,9,9,10,10,9,9,10,9
HEXB,9,10,10,10,10,10,10,10,10,9,9,9,10,8,10,10,10,9
TCIRG1,9,10,9,9,10,10,10,9,10,9,9,10,10,10,9,10,10,10
TANK,9,10,9,9,10,10,10,9,10,10,10,10,10,9,9,10,10,9
MGAT1,9,10,9,9,10,10,9,9,10,9,9,10,10,10,10,10,10,10
TINF2,10,10,9,9,10,10,10,10,9,9,10,10,9,10,9,10,9,10
TSPO,9,10,10,10,10,10,9,9,10,9,9,9,10,10,10,10,10,9
GLRX,10,10,10,9,10,10,10,10,10,9,9,9,9,9,9,10,10,10
RAB8A,10,10,10,10,10,10,10,10,9,9,9,9,10,9,9,10,10,10
PSMB8,10,10,9,8,10,10,10,10,8,10,10,10,10,10,9,10,10,10
ANXA5,10,10,10,10,10,10,9,10,10,9,9,10,10,10,10,10,10,7
ATP6V0D1,10,10,10,10,10,10,10,10,10,8,8,9,10,10,10,10,10,9
ILK,10,10,10,10,10,10,9,10,10,8,9,9,10,10,10,10,10,9
ANXA2,10,10,10,10,10,10,10,10,10,8,8,10,10,9,10,10,10,10
ATP6V1F,10,10,10,10,10,10,10,10,10,9,9,10,10,8,9,10,10,10
GRB2,10,10,9,9,10,10,9,9,10,10,10,10,10,10,9,10,10,10
UGCG,10,9,9,10,10,8,9,9,8,9,9,8,10,7,9,9,8,7
TMBIM1,9,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10
TFRC,10,10,10,10,10,9,10,10,10,10,10,9,10,9,10,10,10,9
TYK2,10,10,9,9,10,10,10,10,9,10,10,10,10,10,9,10,10,10
LITAF,10,10,10,9,10,10,10,10,9,10,10,9,10,10,9,10,10,10
CD81,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,8,10
KLF6,9,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,10
PTTG1IP,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,9
LASP1,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,9,10
SEC14L1,9,9,8,9,9,9,9,7,9,8,8,9,10,10,8,9,10,9
RAP2C,9,9,9,9,9,9,10,9,7,9,9,9,10,8,7,9,9,9
RPS6KA3,8,9,8,8,9,9,10,10,8,9,10,8,9,9,8,9,9,9
CHFR,8,9,8,8,9,9,9,9,8,9,9,9,10,10,8,9,9,9
S100A6,8,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
PNRC1,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9,9,10,10
EMP3,8,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10
FLNA,8,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10
S100A4,8,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
CD63,9,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10
TNFRSF14,9,9,7,5,9,9,9,9,8,10,10,10,10,10,7,10,9,10
NAMPT,7,9,9,8,9,10,9,7,10,9,9,8,10,10,9,9,10,8
SIPA1,9,9,6,7,9,9,10,9,8,10,10,10,9,10,7,9,9,10
SRGN,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
CYBA,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10
CD44,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HERPUD1,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9
OS9,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10
S100A10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10
TXNIP,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SH3BGRL3,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10
ADCY7,8,9,7,7,9,9,10,9,8,10,10,9,9,10,8,10,9,10
NFKBIA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
ARPC5,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10
ADAR,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
MSN,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-E,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SSR4,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10
TAGLN2,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SDCBP,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
HLA-B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ITM2B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MCL1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ARPC2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSME1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-C,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSAP,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
