,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
AKR1A1,10,10,10,10,10,10,9,9,9,9,9,10,10,8,10,10,10,9
BLOC1S1,9,9,9,9,10,10,9,9,10,9,10,9,10,10,10,10,10,10
NPC2,9,10,10,10,10,10,9,10,10,9,8,10,10,8,10,10,10,9
MVP,8,10,9,10,10,9,9,9,10,10,10,9,10,10,10,10,9,10
MGAT1,9,10,9,9,10,10,9,9,10,9,9,10,10,10,10,10,10,10
TSPO,9,10,10,10,10,10,9,9,10,9,9,9,10,10,10,10,10,9
ILK,10,10,10,10,10,10,9,10,10,8,9,9,10,10,10,10,10,9
GRB2,10,10,9,9,10,10,9,9,10,10,10,10,10,10,9,10,10,10
FLII,9,10,9,9,10,10,9,9,10,10,10,10,10,10,10,10,10,10
M6PR,9,10,9,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10
FTH1,9,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10
